model,GAMMA,LR_ACTOR,LR_CRITIC,fc1_units,fc2_units,seed,win_iter
model-16,0.9,0.0001,0.0001,200,100,42,
model-3,0.9,0.0001,0.0010,100,100,42,
model-31,0.9,0.0001,0.0010,400,200,42,
model-33,0.9,0.0010,0.0010,400,400,42,
model-34,0.9,0.0010,0.0001,400,400,42,
model-35,0.9,0.0001,0.0010,400,400,42,
model-37,0.95,0.0010,0.0010,100,100,42,
model-45,0.95,0.0010,0.0010,100,400,42,
model-47,0.95,0.0001,0.0010,100,400,42,
model-49,0.95,0.0010,0.0010,200,100,42,
model-51,0.95,0.0001,0.0010,200,100,42,
model-53,0.95,0.0010,0.0010,200,200,42,
model-55,0.95,0.0001,0.0010,200,200,42,
model-57,0.95,0.0010,0.0010,200,400,42,
model-59,0.95,0.0001,0.0010,200,400,42,
model-61,0.95,0.0010,0.0010,400,100,42,
model-63,0.95,0.0001,0.0010,400,100,42,
model-65,0.95,0.0010,0.0010,400,200,42,
model-69,0.95,0.0010,0.0010,400,400,42,
model-73,0.99,0.0010,0.0010,100,100,42,
model-75,0.99,0.0001,0.0010,100,100,42,
model-77,0.99,0.0010,0.0010,100,200,42,
model-79,0.99,0.0001,0.0010,100,200,42,
model-83,0.99,0.0001,0.0010,100,400,42,
model-85,0.99,0.0010,0.0010,200,100,42,
model-87,0.99,0.0001,0.0010,200,100,42,
model-89,0.99,0.0010,0.0010,200,200,42,
model-9,0.9,0.0010,0.0010,100,400,42,
model-93,0.99,0.0010,0.0010,200,400,42,
model-95,0.99,0.0001,0.0010,200,400,42,
model-97,0.99,0.0010,0.0010,400,100,42,
model-99,0.99,0.0001,0.0010,400,100,42,
