episode,score
0,0.9569999786093831
1,1.1674999739043415
2,0.9929999778047204
3,0.867499980609864
4,1.3294999702833592
5,1.146499974373728
6,1.401499968674034
7,1.8654999583028258
8,1.4859999667853117
9,2.005999955162406
10,2.1094999528490006
11,2.513999943807721
12,3.044499931950122
13,4.150499907229095
14,3.97299991119653
15,4.318499903474003
16,6.456999855674804
17,10.978999754600228
18,15.849499645736069
19,16.09449964025989
20,23.83049946734682
21,24.539999451488256
22,30.237499324139208
23,31.412999297864737
24,33.61849924856797
25,36.230999190174046
26,37.26399916708469
27,38.66799913570285
28,38.39949914170429
29,37.72599915675819
30,38.31949914349243
31,38.341999142989515
32,38.36749914241955
33,38.069499149080364
34,38.53999913856387
35,38.36599914245308
36,38.6399991363287
37,38.28799914419651
38,38.01699915025383
39,37.86449915366247
40,38.01449915030971
41,37.095499170850964
42,37.26349916709587
43,36.94099917430431
44,37.15399916954338
45,37.67249915795401
46,37.83349915435538
47,37.74599915631116
48,36.697499179746956
49,36.94899917412549
50,37.73549915654585
51,37.908499152679
52,37.98699915092438
53,37.3179991658777
54,37.4464991630055
55,37.308499166090044
56,37.228499167878184
57,37.61699915919453
58,37.36999916471541
59,37.512499161530286
60,37.738999156467614
61,37.42049916358665
62,37.37249916465953
63,37.76349915592
64,37.42799916341901
65,37.39699916411191
66,37.86999915353954
67,37.774999155662954
68,37.34649916524067
69,37.854999153874815
70,37.04799917191267
71,37.334499165508895
72,37.893999153003094
73,37.48749916208908
74,37.99749915068969
75,37.88649915317073
76,37.12299917023629
77,37.970999151282015
78,37.50549916168675
79,37.41099916379899
80,37.26999916695058
81,37.86099915374071
82,37.814999154768884
83,37.543499160837385
84,37.61549915922806
85,37.77449915567413
86,37.236499167699364
87,37.411999163776635
88,36.980499173421414
89,37.190999168716374
90,37.40149916401133
91,37.11449917042628
92,37.035999172180894
93,37.05499917175621
94,37.49399916194379
95,37.65749915828928
96,37.48899916205555
97,37.164999169297516
98,37.63999915868044
99,37.70049915732816
100,37.87399915345013
101,37.12449917020276
102,36.594499182049184
103,36.4579991851002
104,36.8599991761148
105,36.814999177120626
106,37.46149916267022
107,36.99799917303026
108,36.980499173421414
109,37.62949915891513
110,37.20999916829169
111,37.38149916445836
112,37.279999166727066
113,37.202499168459326
114,37.029999172315
115,37.59049915978685
116,37.040999172069135
117,37.33099916558713
118,36.719499179255216
119,36.99949917299673
120,36.51249918388203
121,36.52499918360263
122,37.224499167967586
123,37.20499916840345
124,36.98099917341024
125,36.87699917573482
126,37.08599917106331
127,36.67499918024987
128,37.22149916803464
129,37.25249916734174
130,36.7874991777353
131,36.906999175064264
132,36.93749917438254
133,36.86149917608127
134,37.361499164905396
135,36.75749917840585
136,37.30299916621298
137,36.562999182753266
138,36.94149917429313
139,36.987999173253776
140,36.8579991761595
141,36.66349918050692
142,37.41549916369841
143,36.59649918200448
144,36.78699917774647
145,36.89899917524308
146,36.486999184451996
147,36.66899918038398
148,36.1699991915375
149,36.92199917472899
150,36.167999191582204
151,36.19599919095636
152,36.928999174572525
153,36.79949917746708
154,37.32749916566536
155,37.01199917271733
156,36.71149917943403
157,36.63199918121099
158,36.105999192968014
159,36.8414991765283
160,36.62749918131158
161,36.39599918648601
